,user_id,timestamp,group,landing_page,converted
0,922696,2025-01-02 13:42:05.378582,treatment,new_page,0
1,781507,2025-01-02 13:42:15.234051,control,old_page,0
2,737319,2025-01-02 13:42:21.786186,control,old_page,0
3,818377,2025-01-02 13:42:26.640581,treatment,new_page,0
4,725857,2025-01-02 13:42:27.851110,treatment,new_page,0
5,762651,2025-01-02 13:42:28.522322,treatment,new_page,0
6,722516,2025-01-02 13:42:34.033708,treatment,new_page,0
7,688937,2025-01-02 13:42:41.406986,treatment,new_page,0
8,781125,2025-01-02 13:42:45.090432,treatment,new_page,0
9,799109,2025-01-02 13:42:45.219901,control,old_page,0
10,643921,2025-01-02 13:43:03.767329,control,old_page,1
11,667072,2025-01-02 13:43:22.081120,treatment,new_page,0
12,937131,2025-01-02 13:43:24.473268,treatment,new_page,0
13,677659,2025-01-02 13:43:32.744957,control,old_page,0
14,889153,2025-01-02 13:43:35.689998,treatment,new_page,1
15,884319,2025-01-02 13:43:36.945202,treatment,new_page,0
16,644166,2025-01-02 13:43:52.169597,control,old_page,0
17,842582,2025-01-02 13:43:52.915614,control,old_page,0
18,839956,2025-01-02 13:43:59.531519,control,old_page,0
19,758991,2025-01-02 13:44:15.657021,treatment,new_page,0
20,738560,2025-01-02 13:44:27.385563,treatment,new_page,0
21,939117,2025-01-02 13:44:29.563089,control,old_page,0
22,889231,2025-01-02 13:44:38.722463,control,old_page,0
23,671039,2025-01-02 13:44:43.808624,treatment,new_page,0
24,752901,2025-01-02 13:45:00.214893,control,old_page,0
25,901354,2025-01-02 13:45:06.600508,control,old_page,0
26,664064,2025-01-02 13:45:13.056529,control,old_page,1
27,643348,2025-01-02 13:45:14.834730,control,old_page,0
28,932084,2025-01-02 13:45:21.968916,control,old_page,0
29,790010,2025-01-02 13:45:25.265864,control,old_page,0
30,797129,2025-01-02 13:45:28.246588,control,old_page,0
31,871586,2025-01-02 13:45:41.340210,treatment,new_page,1
32,735893,2025-01-02 13:45:52.805355,treatment,new_page,1
33,939946,2025-01-02 13:46:03.578398,treatment,new_page,0
34,932819,2025-01-02 13:46:04.828024,treatment,new_page,0
35,690369,2025-01-02 13:46:11.893973,treatment,new_page,0
36,744326,2025-01-02 13:46:14.208626,control,old_page,1
37,644912,2025-01-02 13:46:14.688840,control,old_page,0
38,812135,2025-01-02 13:46:30.743376,treatment,new_page,0
39,871211,2025-01-02 13:46:39.209031,treatment,new_page,0
40,868589,2025-01-02 13:46:40.314864,treatment,new_page,0
41,779013,2025-01-02 13:46:42.459893,control,old_page,0
42,856948,2025-01-02 13:46:42.682221,treatment,new_page,0
43,671112,2025-01-02 13:46:44.693743,treatment,new_page,0
44,882763,2025-01-02 13:46:57.779472,treatment,new_page,1
45,823212,2025-01-02 13:47:00.878923,control,old_page,0
46,692455,2025-01-02 13:47:12.570115,control,old_page,0
47,790533,2025-01-02 13:47:17.199443,control,old_page,0
48,723887,2025-01-02 13:47:22.801223,control,old_page,0
49,801251,2025-01-02 13:47:27.897981,control,old_page,1
